avgOxygenSaturation.timeFrame.timestamp,avgOxygenSaturation.oxygenSaturation.value,
2022-05-18 09:13:34,98.92,
2022-05-18 09:12:34,97.64,
2022-05-18 09:11:34,97.59,
2022-05-18 09:10:34,95.82,
2022-05-18 09:09:34,95.01,
2022-05-18 09:08:34,96.17,
2022-05-18 09:07:35,96.13,
2022-05-18 09:06:35,97.07,
2022-05-18 09:05:35,97.72,
2022-05-18 09:04:35,97.29,
2022-05-18 09:03:35,98.24,
2022-05-18 09:02:35,98.64,
2022-05-18 09:01:35,98.14,
2022-05-18 09:00:35,98.89,
2022-05-18 08:59:35,99.24,
2022-05-18 08:58:36,99.47,
2022-05-18 08:57:36,99.6,
2022-05-18 08:56:36,99.1,
2022-05-18 08:55:36,96.62,
2022-05-18 08:54:36,95.81,
2022-05-18 08:53:36,96.65,
2022-05-18 08:47:58,98.71,
2022-05-18 08:46:58,97.07,
2022-05-18 08:45:59,97.17,
2022-05-18 08:44:59,96.83,
2022-05-18 08:43:59,97.57,
2022-05-18 08:42:59,97.8,
2022-05-18 08:41:59,96.99,
2022-05-18 08:40:59,96.87,
2022-05-18 08:39:59,96.42,
2022-05-18 08:38:59,96.81,
2022-05-18 08:37:59,97.77,
2022-05-18 08:32:42,97.94,
2022-05-18 08:31:42,97.82,
2022-05-18 08:30:42,99.03,
2022-05-18 08:29:42,99.19,
2022-05-18 08:28:42,95.25,
2022-05-18 08:27:42,96.13,
2022-05-18 08:26:42,97.72,
2022-05-18 08:25:42,96.99,
2022-05-18 08:24:43,98.59,
2022-05-18 08:23:43,99.2,
2022-05-18 08:22:43,99.05,
2022-05-18 08:21:43,98.75,
2022-05-18 08:20:43,98.93,
2022-05-18 08:19:43,99.56,
2022-05-18 08:18:43,99.2,
2022-05-18 08:17:43,97.42,
2022-05-18 08:16:43,97.81,
2022-05-18 08:15:44,98.07,
2022-05-18 08:14:44,96.28,
2022-05-18 08:13:44,98.34,
2022-05-18 08:12:44,98.34,
2022-05-18 08:11:44,97.82,
2022-05-18 08:10:44,97.59,
2022-05-18 08:09:44,98.01,
2022-05-18 08:08:44,96.68,
2022-05-18 08:07:44,98.35,
2022-05-18 08:06:45,97.96,
2022-05-18 08:05:45,97.35,
2022-05-18 08:04:45,97.6,
2022-05-18 08:03:45,97.08,
2022-05-18 08:02:45,95.4,
2022-05-18 08:01:45,97.24,
2022-05-18 08:00:45,97.79,
2022-05-18 07:59:45,99.21,
2022-05-18 07:58:45,98.51,
2022-05-18 07:57:45,98.32,
2022-05-18 07:56:46,96.41,
2022-05-18 07:55:46,96.11,
2022-05-18 07:54:46,96.54,
2022-05-18 07:53:46,96.14,
2022-05-18 07:52:46,97.29,
2022-05-18 07:51:46,96.79,
2022-05-18 07:50:46,95.87,
2022-05-18 07:49:46,97.36,
2022-05-18 07:48:46,97.73,
2022-05-18 07:47:47,97.78,
2022-05-18 07:46:47,97.54,
2022-05-18 07:45:47,97.59,
2022-05-18 07:44:47,96.29,
2022-05-18 07:43:47,96.25,
2022-05-18 07:42:47,95.54,
2022-05-18 07:41:47,94.39,
2022-05-18 07:40:47,95.33,
2022-05-18 07:39:47,95.28,
2022-05-18 07:38:48,94.25,
2022-05-18 07:37:48,95.51,
2022-05-18 07:36:48,94.88,
2022-05-18 07:35:48,93.23,
2022-05-18 07:34:48,94.58,
2022-05-18 07:33:48,94.53,
2022-05-18 07:32:48,95.2,
2022-05-18 07:31:48,95.21,
2022-05-18 07:30:48,95.38,
2022-05-18 07:29:49,96.23,
2022-05-18 07:28:49,96.23,
2022-05-18 07:27:49,97.29,
2022-05-18 07:26:49,96.39,
2022-05-18 07:25:49,96.54,
2022-05-18 07:24:49,97.07,
2022-05-18 07:23:49,97.98,
2022-05-18 07:22:49,98.11,
2022-05-18 07:21:49,98.61,
2022-05-18 07:20:50,99.48,
2022-05-18 07:19:50,98.69,
2022-05-18 07:18:50,98.86,
2022-05-18 07:17:50,97.31,
2022-05-18 07:16:50,97.57,
2022-05-18 07:15:50,96.84,
2022-05-18 07:14:50,96.34,
2022-05-18 07:13:50,95.78,
2022-05-18 07:12:50,95.59,
