recordtime,physicalActivity.step.value,
2022-05-18 22:55:00,17,
2022-05-18 22:54:00,0,
2022-05-18 21:42:00,0,
2022-05-18 21:41:00,0,
2022-05-18 21:40:00,0,
2022-05-18 21:39:00,0,
2022-05-18 21:38:00,0,
2022-05-18 21:36:00,0,
2022-05-18 21:33:00,0,
2022-05-18 21:32:00,0,
2022-05-18 21:31:00,0,
2022-05-18 21:30:00,0,
2022-05-18 21:29:00,0,
2022-05-18 21:28:00,0,
2022-05-18 21:27:00,0,
2022-05-18 21:26:00,54,
2022-05-18 21:25:00,48,
2022-05-18 21:24:00,110,
2022-05-18 21:23:00,110,
2022-05-18 21:22:00,111,
2022-05-18 21:21:00,108,
2022-05-18 21:20:00,0,
2022-05-18 21:19:00,20,
2022-05-18 21:18:00,38,
2022-05-18 21:17:00,61,
2022-05-18 21:16:00,87,
2022-05-18 21:15:00,108,
2022-05-18 21:14:00,112,
2022-05-18 21:13:00,108,
2022-05-18 21:12:00,107,
2022-05-18 21:11:00,110,
2022-05-18 21:10:00,110,
2022-05-18 21:09:00,104,
2022-05-18 21:08:00,108,
2022-05-18 21:07:00,158,
2022-05-18 21:06:00,157,
2022-05-18 21:05:00,157,
2022-05-18 21:04:00,157,
2022-05-18 21:03:00,156,
2022-05-18 21:02:00,157,
2022-05-18 21:01:00,155,
2022-05-18 21:00:00,154,
2022-05-18 20:59:00,158,
2022-05-18 20:58:00,157,
2022-05-18 20:57:00,155,
2022-05-18 20:56:00,155,
2022-05-18 20:55:00,127,
2022-05-18 20:54:00,116,
2022-05-18 20:53:00,115,
2022-05-18 20:52:00,105,
2022-05-18 20:51:00,109,
2022-05-18 20:50:00,113,
2022-05-18 20:49:00,114,
2022-05-18 20:48:00,121,
2022-05-18 20:47:00,79,
2022-05-18 20:46:00,85,
2022-05-18 20:45:00,62,
2022-05-18 20:44:00,54,
2022-05-18 20:43:00,20,
2022-05-18 19:58:00,24,
2022-05-18 19:37:00,0,
2022-05-18 19:36:00,0,
2022-05-18 19:34:00,0,
